은행,지점명,주소,읍면동,위도,경도,상권_병원인프라_성숙도
iM뱅크(구 대구은행),가톨릭대학병원출장소,대구광역시 남구 대명동 두류공원로17길33,대명4동,35.84418911000001,128.5658257,5.393850986733306e-09
iM뱅크(구 대구은행),경북대지점,대구광역시 북구 산격동 대학로80,대현동,35.88909748999999,128.6143223,6.024948897760729e-09
iM뱅크(구 대구은행),남구청출장소,대구광역시 남구 봉덕동 이천로51,봉덕1동,35.84578414,128.59726,7.345046279725306e-09
iM뱅크(구 대구은행),내당동지점,대구광역시 서구 내당동 달서로1,내당2.3동,35.86244661,128.5716056,8.962430284617365e-09
iM뱅크(구 대구은행),노원동지점,대구광역시 북구 노원동3가 노원로169,노원동,35.89937286000001,128.5785879,1.2788400272103282e-09
iM뱅크(구 대구은행),달서구청출장소,대구광역시 달서구 월성동 학산로45,월성2동,35.82991552,128.5328356,4.590221410654882e-09
iM뱅크(구 대구은행),달성공단영업부,대구광역시 달성군 논공읍 논공중앙로33길17,논공읍,35.73104701999999,128.4522915,1.583785905749039e-09
iM뱅크(구 대구은행),달성군청출장소,대구광역시 달성군 논공읍 달성군청로33,논공읍,35.77466317,128.4313897,7.183034177741926e-10
iM뱅크(구 대구은행),대구국제공항출장소,대구광역시 동구 지저동 공항로221,지저동,35.89910868,128.6392615,2.0467249911446954e-09
iM뱅크(구 대구은행),대구시산격청사점,대구광역시 북구 산격동 연암로40,산격4동,35.89202721,128.5984093,4.448399724807436e-09
iM뱅크(구 대구은행),대덕지점,대구광역시 남구 대명동 대명로195,대명1동,35.83994808,128.5787675,6.14379541589674e-09
iM뱅크(구 대구은행),동구청지점,대구광역시 동구 신암동 아양로207,신암5동,35.88681058,128.6360751,5.707481931032585e-09
iM뱅크(구 대구은행),방촌지점,대구광역시 동구 방촌동 동촌로274,방촌동,35.87955908,128.6695176,4.267919771474235e-09
iM뱅크(구 대구은행),범물1동점,대구광역시 수성구 범물1동 지범로39길12,범물1동,35.82056739000001,128.6432063,6.060767955343493e-09
iM뱅크(구 대구은행),봉덕동지점,대구광역시 남구 봉덕동 대봉로60,봉덕1동,35.844037789999994,128.6042007,6.965378330150902e-09
iM뱅크(구 대구은행),북비산지점,대구광역시 서구 비산동 달서로183,비산6동,35.87870316,128.570933,7.928495451554386e-09
iM뱅크(구 대구은행),서대구지점,대구광역시 서구 평리동 서대구로78,평리4동,35.86491706,128.5562578,8.437884801925272e-09
iM뱅크(구 대구은행),성당시장지점,대구광역시 남구 대명동 대경길7,대명4동,35.84983789000001,128.5724,5.82081147133932e-09
iM뱅크(구 대구은행),성명지점,대구광역시 남구 대명동 대명로23,대명10동,35.83854081,128.5600256,8.488532812850673e-09
iM뱅크(구 대구은행),성북교점,대구광역시 북구 산격1동 연암로117,산격1동,35.89502176,128.5942498,3.806128306676259e-09
iM뱅크(구 대구은행),성서공단영업부,대구광역시 달서구 월암동 성서공단로124,월성2동,35.83484068000001,128.4961746,1.53861274396007e-09
iM뱅크(구 대구은행),신평지점,대구광역시 서구 평리동 국채보상로286,평리4동,35.87147897999999,128.5620941,8.184922062167596e-09
iM뱅크(구 대구은행),월성동지점,대구광역시 달서구 월성동 월성로30,월성2동,35.83157465,128.5323125,4.362167739990421e-09
iM뱅크(구 대구은행),월촌역지점,대구광역시 달서구 송현동 월배로322,송현1동,35.824128640000005,128.54632,5.820880399836109e-09
iM뱅크(구 대구은행),유통단지영업부,대구광역시 북구 산격동 유통단지로73,산격2동,35.90795213999999,128.6102898,4.786822989616057e-09
iM뱅크(구 대구은행),이현공단영업부,대구광역시 서구 중리동 국채보상로124,상중이동,35.86851112000001,128.5447464,3.034035487355181e-09
iM뱅크(구 대구은행),파동지점,대구광역시 수성구 상동 수성로5,상동,35.82598648,128.6098743,2.1571165087554394e-09
iM뱅크(구 대구은행),팔달로지점,대구광역시 서구 비산동 팔달로72-1,비산7동,35.88992938,128.558066,4.442449226862e-09
iM뱅크(구 대구은행),팔달영업부,대구광역시 서구 비산동 팔달로126,비산5동,35.889135230000015,128.5638313,6.877632833112363e-09
iM뱅크(구 대구은행),효목동지점,대구광역시 동구 효목동 효목로13,효목2동,35.87462388,128.6390695,7.179769009255887e-09
KB국민은행,KB국민은행 내당동종합금융센터,대구 서구 달구벌대로 1777,내당1동,35.85885784999999,128.5592859,8.91827452920278e-09
KB국민은행,KB국민은행 평리동,대구 서구 서대구로 137,평리4동,35.87009959,128.554565,7.1640259900236225e-09
KB국민은행,KB국민은행 봉덕동,대구 남구 봉덕로 69,봉덕1동,35.84511423,128.5986833,7.4017084577191945e-09
KB국민은행,KB국민은행 대구유통단지종합금융센터,대구 북구 유통단지로13길 9,산격2동,35.90821539,128.6091254,4.669650487999635e-09
KB국민은행,KB국민은행 대구3공단종합금융센터,대구 북구 노원로 137,노원동,35.89766385,128.5756238,1.6987681597464704e-09
KB국민은행,KB국민은행 달성공단종합금융센터,대구 달성군 논공읍 논공중앙로32길 2,논공읍,35.728770299999994,128.4523643,1.7790497737247806e-09
NH농협은행,군위군지부,대구광역시 군위군 군위읍 대구광역시 군위군 군위읍 중앙길 109,군위읍,36.23807094,128.5669743,1.8161325501534683e-09
NH농협은행,군위군청<출>,대구광역시 군위군 군위읍 대구광역시 군위군 군위읍 군청로 200,군위읍,36.24303011000001,128.5729675,6.255293082941324e-10
NH농협은행,달성군지부,대구광역시 달서구 송현1동 대구광역시 달서구 월배로 458,송현1동,35.83393610000001,128.5553336,9.718792655923962e-09
NH농협은행,달성군청<출>,대구광역시 달성군 논공읍 대구광역시 달성군 논공읍 달성군청로 33,논공읍,35.77466317,128.4313897,7.183034177741926e-10
NH농협은행,대구시산격청사<출>,대구광역시 북구 산격4동 대구광역시 북구 연암로 40 102동(농협동) 1층,산격4동,35.89202721,128.5984093,4.448399724807436e-09
NH농협은행,대구영업부,대구광역시 북구 대현동 대구광역시 북구 신암로 67,대현동,35.87815740000001,128.6077596,9.189424879946426e-09
NH농협은행,대구유통단지지점,대구광역시 북구 산격2동 대구광역시 북구 유통단지로8길 13,산격2동,35.904530709999996,128.6078426,6.405162750349276e-09
NH농협은행,대명동지점,대구광역시 남구 대명10동 대구광역시 남구 대명로 117,대명10동,35.83987279000001,128.5700371,7.266251650352816e-09
NH농협은행,동촌지점,대구광역시 동구 동촌동 대구광역시 동구 해동로 231,동촌동,35.88483817,128.6539153,2.8440365313514862e-09
NH농협은행,두류지점,대구광역시 서구 내당1동 대구광역시 서구 달구벌대로 1797,내당1동,35.85955487,128.5613962,8.457589221524269e-09
NH농협은행,봉덕지점,대구광역시 남구 봉덕1동 대구광역시 남구 봉덕로 125,봉덕1동,35.84470535,128.6041069,6.960162905068405e-09
NH농협은행,성당지점,대구광역시 남구 대명4동 대구광역시 남구 성당로 152,대명4동,35.84799459,128.5690295,5.258897037097965e-09
NH농협은행,신천역지점,대구광역시 동구 신천1.2동 대구광역시 동구 동부로 17,신천1.2동,35.874293300000005,128.6145846,7.940560192101873e-09
NH농협은행,원대금융센터,대구광역시 서구 원대동 대구광역시 서구 달서천로83길 6,원대동,35.88202064,128.5780262,6.935706168253882e-09
NH농협은행,평리지점,대구광역시 서구 평리4동 대구광역시 서구 국채보상로 256,평리4동,35.87090068,128.5590932,8.163323416088645e-09
NH농협은행,효목금융센터,대구광역시 동구 효목2동 대구광역시 동구 효목로 40,효목2동,35.87683603999999,128.6400425,6.443427344333873e-09
신한은행,경북대학교,대구 북구 산격동 대학로 80,대현동,35.88909748999999,128.6143223,6.024948897760729e-09
신한은행,대구3공단금융센터,대구 북구 노원동3가 노원로 131,노원동,35.8975226,128.5750295,1.7556840877450849e-09
신한은행,대구지방법원등기국(출),대구 동구 효목동 동부로 212,효목2동,35.87893295,128.6355517,7.408270123195518e-09
우리은행,대구3공단지점,대구 서구 비산동 팔달로,비산7동,35.88969032999999,128.5570703,4.132156052162637e-09
우리은행,범물동지점,대구 수성구 범물동 지범로,범물1동,35.82265377,128.6442296,4.957356780611105e-09
우리은행,성당동지점,대구 남구 대명동 월배로,대명11동,35.83635647000001,128.55654,9.999979236390653e-09
우리은행,유통단지지점,대구 북구 산격동 유통단지로,산격2동,35.90722008,128.609657,5.287544293533204e-09
하나은행,대구3공단금융센터,대구광역시 북구 오봉로 8,노원동,35.8883877,128.5765139,6.120844643350138e-09
하나은행,달성,대구광역시 달성군 논공중앙로34길 1,논공읍,35.72969159,128.4540414,1.2843142809813786e-09
하나은행,봉덕,대구광역시 남구 중앙대로 146,봉덕1동,35.84617468,128.5908774,6.905777916460481e-09
